strata.names,population
Al Jabal Al Gharbi_idp,1867
Aljfara_idp,3120
Aljufra_idp,187
Alkufra_idp,1028
Azzawya_idp,2288
Benghazi_idp,5373
Derna_idp,226
Ejdabia_idp,2767
Ghat_idp,1627
Misrata_idp,6779
Murzuq_idp,2486
Sebha_idp,4220
Sirt_idp,1678
Tripoli_idp,8259
Ubari_idp,664
Wadi Ashshati_idp,277
Zwara_idp,1395
Al Jabal Al Gharbi_non_displaced,58677
Aljfara_non_displaced,62351
Aljufra_non_displaced,5750
Alkufra_non_displaced,7115
Azzawya_non_displaced,70143
Benghazi_non_displaced,125714
Derna_non_displaced,37014
Ejdabia_non_displaced,33615
Ghat_non_displaced,3576
Misrata_non_displaced,100767
Murzuq_non_displaced,11105
Sebha_non_displaced,22003
Sirt_non_displaced,15105
Tripoli_non_displaced,195791
Ubari_non_displaced,15931
Wadi Ashshati_non_displaced,12242
Zwara_non_displaced,77333
Al Jabal Al Gharbi_returnee,2170
Aljfara_returnee,1006
Alkufra_returnee,207
Azzawya_returnee,89
Benghazi_returnee,37805
Derna_returnee,7454
Ghat_returnee,196
Misrata_returnee,1466
Murzuq_returnee,188
Sebha_returnee,384
Sirt_returnee,12121
Tripoli_returnee,10027
Wadi Ashshati_returnee,42
Zwara_returnee,2694
Ubari_returnee,5587
Ejdabia_returnee,100
